"STATION","NAME","DATE","TAVG"
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-08",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-09",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-10",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-11",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-12",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-13",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-14",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-15",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-16",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-17",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-18",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-19",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-20",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-21",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-22",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-23",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-24",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-25",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-26",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-27",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-28",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-29",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-09-30",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-01",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-02",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-03",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-04",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-05",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-06",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-07",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-08",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-09",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-10",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-11",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-12",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-13",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-14",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-15",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-16",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-17",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-18",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-19",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-20",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-21",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-22",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-23",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-24",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-25",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-26",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-27",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-28",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-29",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-30",
"USC00411267","BUSHLAND 1 WSW, TX US","2024-10-31",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-04-18",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-02",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-07",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-10",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-11",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-12",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-13",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-14",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-15",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-16",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-23",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-24",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-25",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-26",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-27",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-28",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-29",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-30",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-05-31",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-01",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-02",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-03",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-04",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-08",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-09",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-10",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-11",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-15",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-16",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-17",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-18",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-19",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-20",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-21",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-22",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-23",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-24",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-25",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-26",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-27",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-28",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-06-29",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-01",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-02",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-04",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-05",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-06",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-07",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-11",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-12",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-13",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-14",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-15",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-16",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-17",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-18",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-21",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-22",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-23",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-24",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-25",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-26",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-27",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-28",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-29",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-30",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-07-31",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-01",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-02",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-03",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-04",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-05",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-06",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-07",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-08",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-09",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-10",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-11",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-12",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-13",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-14",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-15",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-16",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-17",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-18",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-19",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-20",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-21",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-22",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-23",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-24",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-25",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-26",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-08-27",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-06",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-07",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-08",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-09",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-10",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-11",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-12",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-13",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-14",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-15",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-16",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-17",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-18",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-19",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-20",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-21",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-22",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-23",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-24",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-25",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-26",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-09-27",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-03",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-04",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-05",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-06",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-07",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-08",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-09",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-10",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-11",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-12",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-13",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-14",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-15",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-16",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-17",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-22",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-23",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-24",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-25",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-26",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-27",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-28",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-29",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-30",
"US1Hall4002","GRAND ISLAND 2.66 S, NE US","2024-10-31",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-01",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-02",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-03",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-04",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-05",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-06",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-07",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-08",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-09",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-10",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-11",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-12",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-13",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-14",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-15",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-16",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-17",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-18",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-19",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-20",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-21",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-22",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-23",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-24",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-25",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-26",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-27",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-28",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-29",
"USC00410213","AMARILLO 7 ENE, TX US","2023-11-30",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-01",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-02",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-03",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-04",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-05",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-06",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-07",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-08",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-09",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-10",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-11",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-12",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-13",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-14",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-15",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-16",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-17",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-18",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-19",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-20",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-21",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-22",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-23",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-24",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-25",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-26",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-27",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-28",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-29",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-30",
"USC00410213","AMARILLO 7 ENE, TX US","2023-12-31",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-01",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-02",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-03",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-04",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-05",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-06",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-07",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-08",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-09",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-10",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-11",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-12",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-13",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-14",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-15",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-16",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-17",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-18",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-19",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-20",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-21",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-22",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-23",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-24",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-25",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-26",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-27",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-28",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-29",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-30",
"USC00410213","AMARILLO 7 ENE, TX US","2024-01-31",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-01",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-02",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-03",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-04",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-05",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-06",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-07",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-08",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-09",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-10",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-11",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-12",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-13",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-14",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-15",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-16",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-17",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-18",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-19",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-20",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-21",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-22",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-23",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-24",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-25",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-26",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-27",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-28",
"USC00410213","AMARILLO 7 ENE, TX US","2024-02-29",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-01",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-02",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-03",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-04",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-05",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-06",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-07",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-08",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-09",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-10",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-11",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-12",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-13",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-14",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-15",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-16",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-17",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-18",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-19",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-20",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-21",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-22",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-23",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-24",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-25",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-26",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-27",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-28",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-29",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-30",
"USC00410213","AMARILLO 7 ENE, TX US","2024-03-31",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-01",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-02",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-03",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-04",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-05",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-06",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-07",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-08",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-09",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-10",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-11",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-12",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-13",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-14",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-15",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-16",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-17",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-18",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-19",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-20",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-21",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-22",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-23",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-24",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-25",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-26",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-27",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-28",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-29",
"USC00410213","AMARILLO 7 ENE, TX US","2024-04-30",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-01",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-02",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-03",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-04",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-05",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-06",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-07",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-08",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-09",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-10",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-11",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-12",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-13",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-14",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-15",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-16",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-17",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-18",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-19",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-20",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-21",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-22",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-23",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-24",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-25",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-26",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-27",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-28",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-29",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-30",
"USC00410213","AMARILLO 7 ENE, TX US","2024-05-31",
"USC00410213","AMARILLO 7 ENE, TX US","2024-06-01",
"USC00410213","AMARILLO 7 ENE, TX US","2024-06-02",
"USC00410213","AMARILLO 7 ENE, TX US","2024-06-03",
"USC00410213","AMARILLO 7 ENE, TX US","2024-06-04",
"USC00410213","AMARILLO 7 ENE, TX US","2024-06-05",
